,lat,lon,Date_Mid_Greenup_Phase_1,Date_Mid_Senescence_Phase_1,EVI2_Growing_Season_Area_1,EVI2_Onset_Greenness_Maximum_1
0,25.587326,-80.32592,140.25,311.75,20.865,0.48615
1,25.892517,-97.49383,109.6666667,218.6666667,16.87333333,0.353833333
2,26.073536,-80.33845,151.0,256.0,20.585,0.5442
3,26.22621,-98.29107,100.2,279.6,20.452,0.34424
4,26.270082,-81.71096,131.0,309.3333333,17.10666667,0.444866667
5,26.291088,-80.09635,114.0,330.6666667,13.28333333,0.264166667
6,26.548212,-81.98152,137.6666667,286.0,22.47666667,0.3768
7,26.730833,-80.23389,92.0,252.0,16.23,0.5388
8,27.089193,-82.36258,120.0,308.0,43.82,0.4732
9,27.189215,-81.34035,100.1111111,266.3333333,36.97,0.591677778
10,27.350279,-82.47972,98.88888889,283.4444444,30.59555556,0.563711111
11,27.449762,-82.52204,112.6,288.0,25.222,0.48236
12,27.517456,-99.51522,120.0,274.0,22.14,0.2842
13,27.785866,-82.739876,136.0,292.25,20.995,0.41085
14,27.832413,-97.55539,106.8,261.4,22.48,0.45778
15,27.892523,-82.53843,135.75,296.25,12.815,0.20855
16,27.928356,-82.45454,104.0,293.2,16.95,0.29118
17,27.939747,-82.000084,84.88888889,280.6666667,40.87666667,0.558577778
18,27.946688,-82.731766,139.8333333,289.5,11.35333333,0.221316667
19,27.96565,-82.2304,112.8571429,295.7142857,39.63428571,0.516642857
20,28.028889,-81.97222,112.5,272.75,25.415,0.486725
21,28.053612,-80.62861,149.5,318.0,20.85,0.39695
22,28.0903,-82.70071,103.5714286,276.2857143,20.34857143,0.443357143
23,28.195574,-82.75626,104.6,287.6,24.422,0.38382
24,28.31084,-80.61533,149.5,253.0,9.265,0.3561
25,28.332226,-82.30564,93.0,288.5714286,42.30857143,0.556485714
26,28.34751,-81.63647,109.0,264.0,28.1,0.49045
27,28.45445,-81.38118,93.2,292.4,37.592,0.45454
28,28.52389,-81.723335,134.25,306.5,24.2725,0.41205
29,28.59639,-81.3625,116.1666667,257.6666667,15.01833333,0.310716667
30,28.74611,-81.310555,127.0,242.5,18.76,0.3931
31,28.836214,-97.00552,92.625,275.625,17.6375,0.2846
32,29.043758,-95.472946,94.22222222,274.2222222,46.20444444,0.589155556
33,29.109152,-80.99367,147.0,274.0,28.92,0.4285
34,29.170532,-82.10065,100.7142857,289.5714286,33.08857143,0.4996
35,29.30265,-103.17781,93.5,278.5,12.63,0.18535
36,29.489082,-81.27683,119.3333333,296.3333333,34.00333333,0.5567
37,29.51509,-98.62016,101.375,286.75,29.57125,0.3615125
38,29.544722,-82.29611,87.75,257.25,51.7825,0.673475
39,29.583048,-95.01554,96.33333333,296.2222222,36.13222222,0.463644444
40,29.62389,-95.47417,92.85714286,280.7142857,34.02857143,0.455942857
41,29.625557,-95.26722,99.22222222,278.5555556,33.70111111,0.459211111
42,29.632057,-98.56493,93.3,275.0,31.92,0.45456
43,29.670025,-95.12851,96.7,281.8,38.688,0.48332
44,29.68639,-95.29472,102.375,279.375,27.785,0.390575
45,29.695728,-95.49922,102.625,256.5,27.535,0.4366875
46,29.723333,-95.63583,100.0,295.0,41.74111111,0.487055556
47,29.72793,-93.89408,113.0,303.2,40.944,0.54342
48,29.733727,-95.25759,97.0,287.7777778,41.73888889,0.4744
49,29.767998,-95.22058,97.7,283.5,36.402,0.45389
50,29.802708,-95.125496,99.0,286.0,31.45428571,0.373142857
51,29.823318,-94.98379,99.28571429,301.8571429,41.00428571,0.498185714
52,29.828087,-95.284096,104.6666667,265.6666667,31.36444444,0.439666667
53,29.834167,-95.48917,95.66666667,281.7777778,35.87222222,0.4241
54,29.863956,-94.3178,112.0,314.0,41.55,0.5444
55,29.867756,-93.951164,113.6666667,286.0,28.91333333,0.451566667
56,29.897516,-93.99108,101.5714286,287.5714286,48.24,0.605028571
57,29.901035,-95.32613,97.625,294.5,33.2075,0.3936125
58,29.939613,-89.92388,85.5,287.875,51.66125,0.5894625
59,29.9425,-94.00056,95.0,308.6666667,54.90333333,0.541033333
60,29.978926,-94.01087,94.28571429,282.1428571,46.65,0.5607
61,29.979958,-94.004745,107.0,282.0,42.97,0.5285
62,29.984371,-90.41064,118.5,301.5,35.805,0.5024
63,29.993519,-90.10155,99.5,274.5,32.875,0.44525
64,30.036423,-94.07106,113.2222222,287.6666667,28.39444444,0.356755556
65,30.041239,-90.27283,96.22222222,279.0,26.47111111,0.401611111
66,30.085262,-93.76134,99.3,285.9,44.76,0.5516
67,30.0925,-84.16111,124.6,269.4,21.18,0.42076
68,30.1103,-84.9903,141.0,261.0,26.35,0.4743
69,30.140265,-93.36845,96.2,287.4,41.992,0.57622
70,30.178057,-82.61916,94.33333333,276.7777778,41.69444444,0.5726
71,30.194166,-93.86694,96.33333333,295.3333333,54.39666667,0.5567
72,30.20111,-82.44111,103.0,293.3333333,27.53833333,0.486933333
73,30.221254,-91.315414,101.4,285.8,49.234,0.56115
74,30.22611,-92.04291,92.0,307.4,47.492,0.53776
75,30.229652,-90.96563,92.0,273.2,48.978,0.60483
76,30.260279,-81.45361,105.4285714,278.2857143,25.72714286,0.474871429
77,30.262604,-93.28509,117.0,295.0,40.86,0.5246
78,30.315407,-90.811386,86.57142857,287.5714286,55.64857143,0.597414286
79,30.350302,-95.425125,99.625,282.25,25.37625,0.365825
80,30.354944,-97.7618,105.1428571,284.1428571,34.19571429,0.4563
81,30.36805,-87.270966,108.5,279.6666667,12.97166667,0.138383333
82,30.378218,-81.8409,111.125,282.625,37.2975,0.5855625
83,30.378286,-88.53393,98.5,300.125,22.2825,0.3204875
84,30.39037,-89.04978,117.1111111,260.6666667,21.64222222,0.4388
85,30.419806,-91.182014,101.0,285.5,25.6275,0.339175
86,30.42938,-90.19968,97.42857143,291.4285714,53.38142857,0.535128571
87,30.439722,-84.34639,98.0,273.8888889,40.75666667,0.519744444
88,30.46198,-91.17922,101.7777778,281.8888889,24.21,0.314466667
89,30.477724,-81.58734,99.83333333,277.8333333,44.88333333,0.6327
90,30.483164,-97.875084,117.3333333,295.0,22.17166667,0.44615
91,30.484444,-84.19945,97.33333333,301.6666667,61.32666667,0.593533333
92,30.497478,-87.88026,110.8333333,296.0,30.555,0.475266667
93,30.681719,-91.36625,91.25,276.625,63.06,0.6662375
94,30.700895,-91.05607,93.1,275.5,59.36,0.64561
95,30.7017,-94.6742,104.8,274.2,38.258,0.56728
96,30.770182,-88.08776,103.875,292.125,36.97875,0.4760375
97,30.848612,-85.60389,88.14285714,285.8571429,70.04285714,0.642885714
98,31.088001,-97.67973,98.4,277.8,32.51,0.41492
99,31.169806,-81.49503,113.0,308.5,23.44,0.36925
100,31.188932,-85.423096,101.4285714,276.7142857,47.14285714,0.5028
